prod_id,list_price,discounted_price,price,elasticity,dist,increase_price,price_pct,demand,revenue
20602264,6.054309392265193,5.599834254143647,22.22,-0.9685441444142798,0.03145585558572017,1,2.967974584883135,566.9101737259754,12596.74
20905336001,6.2437313432835815,5.907761194029851,14.14,-0.8561302475811977,0.1438697524188023,1,1.3934616744985096,896.4331363369291,12675.56
20612257,2.9812707182320444,2.80475138121547,3.03,-1.1221136774691607,0.12211367746916069,1,0.0803096560690224,4257.707239878446,12900.85
20690699001,5.697237569060774,5.3858011049723755,12.12,-0.9436456200701674,0.05635437992983261,1,1.2503616015100067,1172.907238920435,14215.64
20078939,3.866028368794326,3.7931205673758868,5.05,-0.8805208775241282,0.11947912247587178,1,0.33135762765738636,2819.014783155078,14236.02
20823374,5.559342105263158,5.070921052631578,6.06,-0.9851681451605022,0.014831854839497782,1,0.19504917096966715,2360.0149533172626,14301.69
20117351,6.8521546961325965,5.719944751381215,13.13,-1.0596782825211708,0.0596782825211708,1,1.2954767171185446,1094.4354391796303,14369.94
20056675,6.847513812154697,6.602983425414365,8.08,-1.0816698350718934,0.0816698350718934,1,0.22368927489666474,1793.0007539451028,14487.45
20323751,6.82828729281768,6.539502762430939,13.13,-0.995529717377663,0.004470282622336952,1,1.0077979132344865,1111.222981993144,14590.36
21050572,3.4731638418079096,3.321864406779661,5.05,-0.9230253754433424,0.0769746245566576,1,0.520230624011429,2995.667890077545,15128.12
20318915,3.588839779005525,3.321767955801105,4.04,-0.9754816565557944,0.02451834344420556,1,0.21621981238773208,3751.2296440858654,15154.97
20035921,3.880985915492958,3.80669014084507,7.07,-0.915326091602475,0.08467390839752498,1,0.8572564980112851,2194.19543355216,15512.96
21048165,6.52264705882353,5.743176470588235,10.1,-1.1269956345649943,0.1269956345649943,1,0.7586086814019706,1568.6588378153992,15843.45
20065036001,3.1097237569060776,2.9892817679558013,3.03,-1.000134168249528,0.00013416824952794393,1,0.013621409825157908,5256.3032386495115,15926.6
20315960,6.846022099447515,6.603314917127072,7.07,-1.080569870594625,0.08056987059462495,1,0.07067436412315929,2265.3813191891145,16016.25
20125267,3.8657746478873243,3.791760563380282,8.08,-1.0296389562702637,0.029638956270263694,1,1.1309362405512322,2018.9704366409678,16313.28
20095029,8.694869565217392,6.73904347826087,33.33,-0.9779392507624208,0.02206074923757917,1,3.945805752332288,491.8615361650905,16393.75
20338666001,7.019909090909091,6.624636363636364,7.07,-1.059194036362558,0.059194036362558045,1,0.06722838989447098,2346.9096979717624,16592.65
20779176001,4.725944444444445,4.538611111111111,21.21,-1.020110840849462,0.02011084084946191,1,3.6732358161454197,787.8590368020449,16710.49
20119813001,4.5001657458563535,4.2561878453038675,6.06,-1.1391319577670875,0.13913195776708753,1,0.4238093383698741,2758.268625700062,16715.11
20969938,7.144588235294117,6.315764705882353,43.43,-0.9984876443611146,0.0015123556388854098,1,5.876443633112287,389.8372850822743,16930.63
20897813,9.091049723756907,7.773867403314917,34.34,-1.0579289803268188,0.05792898032681881,1,3.4173637416759655,497.0895000327473,17070.05
20963330,5.003543307086614,4.2874803149606295,7.07,-1.0136556819399356,0.013655681939935604,1,0.6489871627701973,2471.00849670977,17470.03
20326678,13.525801104972377,11.247127071823204,21.21,-1.1443537800406174,0.14435378004061739,1,0.8858149165164341,825.0250676130389,17498.78
20312227,4.7462430939226525,4.220662983425415,6.06,-0.9995999154601445,0.0004000845398555164,1,0.43579338691520253,2927.9947592453714,17743.65
20771852,2.9740331491712704,2.8680662983425416,3.03,-0.9067581998818719,0.0932418001181281,1,0.05646093388811824,5903.808579965366,17888.54
20218303,3.9618713450292398,3.8630994152046787,5.05,-0.9672316209734084,0.032768379026591576,1,0.3072404971313521,3733.6374313206034,18854.87
20314960,3.651111111111111,3.3770555555555557,11.11,-1.1214040803610086,0.12140408036100858,1,2.2898481583233252,1734.1611224322953,19266.53
20601017001,5.9398333333333335,4.937444444444444,9.09,-1.1372973566638436,0.13729735666384357,1,0.8410333730899927,2183.1046259745326,19844.42
20600927001,2.628103448275862,2.3954022988505748,6.06,-1.0032898727116424,0.003289872711642383,1,1.5298464491362762,3333.634296078093,20201.82
21030970001,8.377803030303031,8.091515151515152,21.21,-1.0216836150753124,0.021683615075312357,1,1.6212643247696803,971.829107158925,20612.5
20057892,6.437458563535912,5.51182320441989,9.09,-0.9500029417635778,0.0499970582364222,1,0.6491820696844552,2295.740043447286,20868.28
20772671,6.4435359116022095,5.612044198895028,7.07,-0.9543356812938739,0.045664318706126084,1,0.259790505818189,2993.488967132514,21163.97
20141814001,3.1525414364640887,2.8929281767955803,11.11,-1.0554330374367826,0.05543303743678263,1,2.8403995263740875,1945.9806909589527,21619.85
20253488001,4.31596685082873,4.0745303867403315,11.11,-0.8996019281458845,0.10039807185411553,1,1.7266945992488032,1966.274131179508,21845.31
20147976,12.682011173184357,10.546871508379889,14.14,-0.8753996071116035,0.12460039288839653,1,0.340681925324039,1587.1720602371113,22442.61
20183964001,5.25,4.365027624309392,5.05,-0.9130213104443531,0.08697868955564692,1,0.156922804308479,4537.934618200028,22916.57
20137898,2.23646408839779,2.0283977900552483,3.03,-1.0561036455404857,0.05610364554048575,1,0.49378983494034984,7641.534627345241,23153.85
20600792001,4.833480662983425,4.684696132596685,5.05,-1.0112045308398478,0.011204530839847848,1,0.07797813498755783,4585.042372303767,23154.46
20127917001,7.200828729281768,6.7083977900552485,56.57,-1.0471447469499964,0.047144746949996374,1,7.432714005699132,411.391286457613,23272.41
